PC285,tamii's Delphox Milotic Team,,tamii,,,,Delphoxite,,,Sitrus Berry,,,Leftovers,,,White Herb,,,Occa Berry,,,Chople Berry,,https://pokepast.es/41f003922d70c240,Yes,Extracted,✔,HGA7JAXE9P,14 Apr 2026,-,,https://x.com/tamii_0745/status/2043834541509627954?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,tamii_0745,,Delphox-Mega,Incineroar,Milotic,Sneasler,Sinistcha,Kingambit,,PC285
PC284,donutsvgc's Clefable Tyranitar Team,,donutsvgc,,,,Clefablite,,,Tyranitarite,,,Choice Scarf,,,Leftovers,,,Sitrus Berry,,,Lum Berry,,https://pokepast.es/c82b0dcdd01f09a2,Yes,Extracted,✔,B5MU3XGT11,14 Apr 2026,-,,https://x.com/donutsvgc/status/2043823223293239746?s=46,-,-,donutsvgc,,Clefable-Mega,Tyranitar-Mega,Rotom-Heat,Gyarados,Sinistcha,Garchomp,,PC284
PC283,misono's Lucario Dragonite Team,,misono,,,,Dragoninite,,,Lucarionite,,,Choice Scarf,,,Focus Sash,,,Chople Berry,,,Leftovers,,https://pokepast.es/cc484a2fed677b8d,Yes,Extracted,✔,D4U5V6YY84,14 Apr 2026,-,,https://x.com/misonopoke/status/2043817078067736721?s=46,-,-,misonopoke,,Dragonite-Mega,Lucario-Mega,Basculegion,Pelipper,Kingambit,Archaludon,,PC283
PC282,Wolfey's Drampa Alakazam Team,,Wolfey,,,,Drampanite,,,Scizorite,,,Mystic Water,,,Focus Sash,,,Colbur Berry,,,Sitrus Berry,,https://pokepast.es/ef544e9c8f8a359e,Yes,Extracted,✔,8WVHCET5PL,14 Apr 2026,-,,https://youtu.be/zZERi6o97Hg?si=s1OdJEEZ7H2LFF0M,-,-,Manual Entry,,Drampa-Mega,Scizor-Mega,Basculegion,Pelipper,Alakazam,Sinistcha,,PC282
PC281,gahaku's Gardevoir Conkeldurr Team,,Masahiro Ito,,,,Gardevoirite,,,White Herb,,,Mystic Water,,,Black Belt,,,Focus Sash,,,Occa Berry,,https://pokepast.es/8e024f1c5c067869,Yes,Extracted,✔,ANMP74B6N3,14 Apr 2026,-,,https://x.com/gahaku_poke/status/2043694496593174945?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gahaku_poke,,Gardevoir-Mega,Basculegion,Pelipper,Conkeldurr,Sneasler,Whimsicott,,PC281
PC280,olivotec's Crabominable Oranguru Team,,olivotec,,,,Crabominite,,,Leftovers,,,Choice Scarf,,,Fairy Feather,,,White Herb,,,Sitrus Berry,,https://pokepast.es/ec5e8b0fe2f1033a,Yes,Extracted,✔,8SVY3N9GBV,14 Apr 2026,-,,https://x.com/olivotec/status/2043798827161854255?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,olivotec,,Crabominable-Mega,Incineroar,Basculegion,Primarina,Rhyperior,Oranguru,,PC280
PC279,Rod's Tyranitar Garchomp Team,,Rod,,,,Tyranitarite,,,Passho Berry,,,Leftovers,,,White Herb,,,Coba Berry,,,Focus Sash,,https://pokepast.es/9f38c6cb100c4e3a,Yes,Extracted,✔,CN9TFSEJ5V,14 Apr 2026,-,,https://x.com/trnrrodvgc/status/2043727526644929005?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,trnrrodvgc,,Tyranitar-Mega,Rotom-Heat,Milotic,Sneasler,Sinistcha,Garchomp,,PC279
PC278,EmbC's Hawlucha Tinkaton Team,,Eduardo Cunha,,,,Hawluchanite,,,Lum Berry,,,Sitrus Berry,,,Kasib Berry,,,Occa Berry,,,Soft Sand,,https://pokepast.es/68f894706b9f1953,Yes,Extracted,✔,B0KC31KM0V,14 Apr 2026,-,,https://x.com/meninojardim/status/2043797434229309933?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,meninojardim,,Hawlucha-Mega,Incineroar,Rotom-Wash,Sinistcha,Tinkaton,Garchomp,,PC278
PC277,nerdoutmusic's Charizard Simisage Team,,nerdoutmusic,,,,Charizardite Y,,,Sitrus Berry,,I,King&#39;s Rock,,I,,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/56c1df69472167bd,Yes,Extracted,✔,KND4474G6U,14 Apr 2026,-,,https://x.com/nerdoutmusic/status/2043784996209467724?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,nerdoutmusic,,Charizard,Incineroar,Simisage,Talonflame,Ninetales-Alola,Garchomp,,PC277
PC276,daviddsp90's Charizard-Y Dragapult,,daviddsp90,,,,Charizardite Y,,,Focus Sash,,,Chople Berry,,,Black Glasses,,,Lum Berry,,,Choice Scarf,,https://pokepast.es/067c02a81bd53c8e,Yes,Extracted,✔,76FCCB7KRB,14 Apr 2026,-,,https://x.com/daviddsp90/status/2043761326585950392?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,daviddsp90,,Charizard,Sneasler,Maushold-Four,Kingambit,Dragapult,Garchomp,,PC276
PC275,Apex__Dragon's Floette Maushold Team,,Apex__Dragon,,,,Floettite,,I,,,,Choice Scarf,,,Focus Sash,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/c42db5500939d737,Yes,Extracted,✔,5MQGDACCFC,14 Apr 2026,-,,https://x.com/apex__dragon/status/2043686942920036435?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,apex__dragon,,Floette-Eternal-Mega,Talonflame,Basculegion,Maushold-Four,Kingambit,Garchomp,,PC275
PC274,bsmiffy's Scovillian Dragapult Team,,Brady Smith,,,,Scovillainite,,,Sitrus Berry,,,Chople Berry,,,Leftovers,,,Dragon Fang,,,Choice Scarf,,https://pokepast.es/b204ddc5def200e1,Yes,Extracted,✔,PHMK38CT97,14 Apr 2026,-,,https://x.com/vgccorner/status/2043762269595512984?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,vgccorner,,Scovillain-Mega,Gyarados,Tyranitar,Corviknight,Dragapult,Garchomp,,PC274
PC273,EmbC's Gengar Rain Team,,Eduardo Cunha,,,,Gengarite,,,Sitrus Berry,,,Focus Sash,,,Kasib Berry,,,Fairy Feather,,,Leftovers,,https://pokepast.es/6ea057f212819175,Yes,Extracted,✔,EPCCVSDH0P,14 Apr 2026,-,,https://x.com/meninojardim/status/2043794980288770252?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,meninojardim,,Gengar-Mega,Incineroar,Pelipper,Sinistcha,Sylveon,Archaludon,,PC273
PC272,XenoVGC's Glimmora Tinkaton Team,,XenoVGC,,,,Glimmoranite,,,Charcoal,,,Choice Scarf,,,Black Belt,,,Sitrus Berry,,,Focus Sash,,https://pokepast.es/fb8405b47f66e475,Yes,Extracted,✔,4EKW4QS5MU,14 Apr 2026,-,,https://www.youtube.com/live/0cBIQKtNRn4?si=FdY9G2m0cJ5mNXD2,-,-,Manual Entry,,Glimmora-Mega,Typhlosion-Hisui,Rotom-Mow,Conkeldurr,Tinkaton,Noivern,,PC272
PC271,EmbC's Gardevoir Mudsdale Team,,Eduardo Cunha,,,,Gardevoirite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Occa Berry,,,Lum Berry,,https://pokepast.es/dccac81ae8d32fbe,Yes,Extracted,✔,EH91EVHGRV,14 Apr 2026,-,,https://x.com/MeninoJardim/status/2043799942225883289,-,-,MeninoJardim,,Gardevoir-Mega,Incineroar,Mudsdale,Sneasler,Sinistcha,Dragonite,,PC271
PC270,Lexicon's Charizard-X Mimikyu Team,,Alex Underhill,,,,Charizardite X,,,Passho Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,,Spell Tag,,https://pokepast.es/9c728f17de3f561d,Yes,Extracted,✔,S8JAN29H8U,14 Apr 2026,-,,https://x.com/LexiconVGC/status/2043795334577689061,-,-,LexiconVGC,,Charizard,Incineroar,Milotic,Aerodactyl,Sinistcha,Mimikyu,,PC270
PC269,TwoLeafClover's Floette Delphox Team,,TwoLeafClover,,,,Delphoxite,,,Floettite,,,Choice Scarf,,,White Herb,,,Black Glasses,,,Soft Sand,,https://pokepast.es/b24fac775cc5c1ae,Yes,Extracted,✔,HP2KC04XCC,14 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Delphox-Mega,Floette-Eternal-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC269
PC268,Daniel Oakes' Skarmory Palafin Team,,Daniel Oakes,,,,Skarmorite,,,Mystic Water,,,Focus Sash,,,White Herb,,,Black Glasses,,,Lum Berry,,https://pokepast.es/7490fa7faf47a439,Yes,Extracted,✔,NKH8C20BYS,14 Apr 2026,-,,https://x.com/DanielAcorn1990/status/2043715841129140650,-,-,DanielAcorn1990,,Skarmory-Mega,Palafin,Pelipper,Sneasler,Kingambit,Garchomp,,PC268
PC267,anrivgc's Floette Tyranitar Team,,anrivgc,,,,Floettite,,,Tyranitarite,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,,Soft Sand,,https://pokepast.es/11e549ec956f90be,Yes,Extracted,✔,BLLRW4H81P,14 Apr 2026,-,,https://x.com/anrivgc/status/2043793490145095934?s=46&t=6581c33OCqmx54ofiKxMLg,-,-,anrivgc,,Floette-Eternal-Mega,Tyranitar-Mega,Milotic,Sneasler,Corviknight,Garchomp,,PC267
PC266,mumemo's Floette Froslass Team,,mumemo,,,,Floettite,,,Froslassite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Haban Berry,,https://pokepast.es/4e9fb1591fadf273,Yes,Extracted,X,None,14 Apr 2026,-,,https://x.com/mumemo168/status/2043726565004218470?s=20,-,-,mumemo168,,Floette-Eternal-Mega,Froslass-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC266
PC265,Brian's Delphox Maushold Team,,Brian Youm,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Chople Berry,,,Lum Berry,,https://pokepast.es/89b64d874136f803,Yes,Extracted,✔,BNDP1QR202,14 Apr 2026,-,,https://x.com/PlaymakerYoum/status/2043742443254759577?s=20,-,-,PlaymakerYoum,,Delphox-Mega,Basculegion,Aerodactyl,Sneasler,Maushold-Four,Garchomp,,PC265
PC264,MichaelderBeste's Delphox Aerodactyl Team,,MichaelderBeste,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Black Glasses,,,Haban Berry,,https://pokepast.es/3ff0b0c692254fab,Yes,Extracted,✔,VADSKKQYJE,14 Apr 2026,-,,https://www.twitch.tv/michaderbeste/clip/TiredSpoopyBaguettePeteZarollTie-2-WblZyn-JaQQ8Zz,-,-,Manual Entry,,Delphox-Mega,Basculegion,Aerodactyl,Sneasler,Kingambit,Garchomp,,PC264
PC263,soulkw's Manectric Orthworm Team,,soulkw,,,,Manectite,,,Hard Stone,,,Focus Sash,,,Occa Berry,,,Choice Scarf,,,Soft Sand,,https://pokepast.es/1d0bf8fbfcbb2d4c,Yes,Owner's,✔,5SLTTNKWAP,14 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Manectric-Mega,Aerodactyl,Sneasler,Orthworm,Gardevoir,Garchomp,,PC263
PC262,Asuka's Floette Kingambit Team,,Asuka,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Sharp Beak,,,White Herb,,,Focus Sash,,https://pokepast.es/d0baeeb308f985b5,Yes,Extracted,✔,0G1XWQ7ANF,14 Apr 2026,-,,https://x.com/asuka_pkmn/status/2043685710532948032?s=46,-,-,asuka_pkmn,,Floette-Eternal-Mega,Incineroar,Basculegion,Aerodactyl,Sneasler,Kingambit,,PC262
PC261,zeen's Blastoise Sylveon Team,,Shohei Kimura,,,,Blastoisinite,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Fairy Feather,,,Choice Scarf,,https://pokepast.es/7984493c1c82e685,Yes,Extracted,✔,TCDN0T6EFP,14 Apr 2026,-,,https://x.com/zeen172M/status/2043726976557658161,-,-,zeen172M,,Blastoise-Mega,Aerodactyl,Sneasler,Sinistcha,Sylveon,Garchomp,,PC261
PC260,MichaelderBeste's Warm Up Challenge 2nd Place Team,,Michael Kelsch,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Soft Sand,,https://pokepast.es/666e419dfcca7539,Yes,Extracted,✔,FDX38DMW08,13 Apr 2026,-,,https://x.com/MichaelderBeste/status/2043668524409700509,-,-,MichaelderBeste,,Floette-Eternal-Mega,Incineroar,Rotom-Wash,Aerodactyl,Sneasler,Garchomp,,PC260
PC259,A_tenP5cms_B's Charizard-Y Reuniculus Team,,A_tenP5cms_B,,,,Charizardite Y,,,Leftovers,,,Focus Sash,,,Mental Herb,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/d35ee07b96b255ad,Yes,Extracted,✔,7E6VV4B41H,13 Apr 2026,-,,https://x.com/A_tenP5cms_B/status/2043660044101943408,-,-,A_tenP5cms_B,,Charizard,Venusaur,Raichu,Reuniclus,Kingambit,Garchomp,,PC259
PC258,gerva02vgc's Glimmora Ninetales Team,,gerva02vgc,,,,Glimmoranite,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Never-Melt Ice,,,Leftovers,,https://pokepast.es/d8c3d1e3df54181f,Yes,Owner's,✔,VLWGCWJR4M,13 Apr 2026,-,,https://x.com/gerva02vgc/status/2043432571862655286?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gerva02vgc,,Glimmora-Mega,Basculegion,Sneasler,Whimsicott,Ninetales-Alola,Kommo-o,,PC258
PC257,corakow05's Crabominable Tyranitar Team,,corakow05,,,,Crabominite,,,Tyranitarite,,,Sitrus Berry,,,Mental Herb,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/5b00aee326a5e780,Yes,Extracted,✔,W68PC6YY3M,13 Apr 2026,-,,https://x.com/corakow05/status/2043601397380198520?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,corakow05,,Crabominable-Mega,Tyranitar-Mega,Incineroar,Oranguru,Kingambit,Sylveon,,PC257
PC256,clefablepoke's Clefable Meowstic Team,,clefablepoke,,,,Clefablite,,,Sharp Beak,,,Leftovers,,,Focus Sash,,,Chesto Berry,,,White Herb,,https://pokepast.es/97095fd211d52e78,Yes,Extracted,✔,YC5A7KK70S,13 Apr 2026,-,,https://x.com/clefablepoke/status/2043643540073550157?s=46,-,-,clefablepoke,,Clefable-Mega,Talonflame,Starmie,Sneasler,Meowstic,Garchomp,,PC256
PC255,MikaMika_tti's Glimmora Froslass Team,,MikaMika_tti,,,,Froslassite,,,Glimmoranite,,,Colbur Berry,,,Choice Scarf,,,Focus Sash,,,Chople Berry,,https://pokepast.es/5c0fa9c5aba3fdba,Yes,Extracted,✔,N4SCRQ216T,13 Apr 2026,-,,https://x.com/mikamika_tti/status/2043644897400701280?s=46,-,-,mikamika_tti,,Froslass-Mega,Glimmora-Mega,Basculegion,Pelipper,Aerodactyl,Kingambit,,PC255
PC254,KantoClark's Tyranitar Corviknight Team,,Nicholas Clark,,,,Tyranitarite,,,Shell Bell,,,Leftovers,,,White Herb,,,Sitrus Berry,,,Scope Lens,,https://pokepast.es/e4d8ac17746f5cab,Yes,Extracted,✔,H9KW8P6372,13 Apr 2026,-,,https://x.com/kantoclark/status/2043426308244332616?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,kantoclark,,Tyranitar-Mega,Incineroar,Rotom-Wash,Sneasler,Corviknight,Garchomp,,PC254
PC253,Normalssbbbx's Victreebel Mamoswine Team,,Normal,,,,Victreebelite,,,Lum Berry,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,,White Herb,,https://pokepast.es/7b3932fa72cafdc2,Yes,Extracted,✔,96MF6WL9F6,13 Apr 2026,-,,https://x.com/Normalssbbbx/status/2043612676392423817,-,-,Normalssbbbx,,Victreebel-Mega,Gyarados,Pelipper,Aerodactyl,Mamoswine,Sneasler,,PC253
PC252,gravity030's Floette Tyranitar Team,,gravity030,,,,Floettite,,,Tyranitarite,,,Sitrus Berry,,,Focus Sash,,,Occa Berry,,,Leftovers,,https://pokepast.es/d078afabc7af0e0d,Yes,Extracted,✔,CLH5RGHT2H,13 Apr 2026,-,,https://x.com/gravity030/status/2043602799569903754?s=46,-,-,gravity030,,Floette-Eternal-Mega,Tyranitar-Mega,Milotic,Excadrill,Sinistcha,Corviknight,,PC252
PC251,punihina1334's Pokemmunity Mx Tour Champion,,punihina1334,,,,Meganiumite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Chople Berry,,,Colbur Berry,,https://pokepast.es/bb22c6441ed3116c,Yes,Extracted,✔,SHW8RLBDRU,13 Apr 2026,Pokemmunity Mx Tour,Champion,https://x.com/punihina1334/status/2043590425085198537?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,punihina1334,,Meganium-Mega,Rotom-Wash,Excadrill,Sneasler,Tyranitar,Dragapult,,PC251
PC250,Itachi's Extreme Speed Tour Top 8 Team,,Itachi,,,,Drampanite,,,Floettite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,Mental Herb,,https://pokepast.es/9fd1dadd9a2b7e26,Yes,Extracted,✔,NW7G85RY53,13 Apr 2026,Extreme Speed Tour,Top 8,https://x.com/itachivgc/status/2043590901847503295?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,itachivgc,,Drampa-Mega,Floette-Eternal-Mega,Incineroar,Milotic,Whimsicott,Farigiraf,,PC250
PC249,BTrickroomZ's Floette Glimmora Team,,Yuta Ishigaki,,,,Floettite,,,Glimmoranite,,,Sharp Beak,,,Sitrus Berry,,,Colbur Berry,,,Soft Sand,,https://pokepast.es/f800fb06ae6afd4e,Yes,Extracted,✔,FG7MAVMY46,13 Apr 2026,-,,https://x.com/btrickroomz/status/2043530853159157770?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,btrickroomz,,Floette-Eternal-Mega,Glimmora-Mega,Talonflame,Rotom-Wash,Farigiraf,Garchomp,,PC249
PC248,adrive_tk's Beedrill Chesnaught Team,,adrive_tk,,,,Beedrillite,,,Chesnaughtite,,,Shuca Berry,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/e27e496692c33384,Yes,Extracted,✔,7P04L57KHU,13 Apr 2026,-,,https://x.com/adrive_tk/status/2043511678273265672?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,adrive_tk,,Beedrill-Mega,Chesnaught-Mega,Incineroar,Rotom-Wash,Ninetales-Alola,Garchomp,,PC248
PC247,Green's Delphox Altaria Team,,Geovanni Polanco,,,,Delphoxite,,,White Herb,,,Focus Sash,,,Black Glasses,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/9003ff22cc462ecd,Yes,Extracted,✔,W6RMPHNP1U,13 Apr 2026,-,,https://x.com/greencito/status/2043521478826594508?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,greencito,,Delphox-Mega,Sneasler,Whimsicott,Kingambit,Altaria,Garchomp,,PC247
PC246,jadedragonvgc's Tyranitar Garchomp Team,,jadedragonvgc,,,,Tyranitarite,,,Leftovers,,,Choice Scarf,,,White Herb,,,Sitrus Berry,,,Focus Sash,,https://pokepast.es/289c417f9026f067,Yes,Extracted,✔,QL91FXXH9D,13 Apr 2026,-,,https://x.com/jadedragonvgc/status/2043518558903116289?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,jadedragonvgc,,Tyranitar-Mega,Incineroar,Rotom-Wash,Sneasler,Sinistcha,Garchomp,,PC246
PC245,Atmosphere's Glimmora Crabominable Team,,Nathaniel Sitler,,,,Crabominite,,,Glimmoranite,,,Sitrus Berry,,,Colbur Berry,,,White Herb,,,Focus Sash,,https://pokepast.es/061737986ff073a1,Yes,Extracted,✔,JRHVU9Q5JM,13 Apr 2026,-,,https://x.com/atmospherevgc/status/2043486317460230152?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,atmospherevgc,,Crabominable-Mega,Glimmora-Mega,Incineroar,Slowking,Tsareena,Zoroark-Hisui,,PC245
PC244,M. Khoa Nguyen's Wide League Pokemon Champions SNR #84 Team,,M. Khoa Nguyen,,,,Gardevoirite,,,Sharp Beak,,,Leftovers,,,Focus Sash,,,Spell Tag,,,Choice Scarf,,https://pokepast.es/86df94076f9d80c8,Yes,Extracted,✔,YU7S736YXE,13 Apr 2026,Wide League Pokemon Champions SNR #84,,https://x.com/yukinakafuyu/status/2043213056927502658?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,yukinakafuyu,,Gardevoir-Mega,Talonflame,Milotic,Sneasler,Aegislash,Garchomp,,PC244
PC243,bruvhd's Charizard Politoad Team,,bruvhd,,,,Charizardite Y,,,Mystic Water,,,Focus Sash,,,Black Belt,,,White Herb,,,Leftovers,,https://pokepast.es/3ea0e37781c793c2,Yes,Extracted,✔,PC1FF545GB,13 Apr 2026,-,,https://x.com/bruvhd/status/2043412293229093293?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,bruvhd,,Charizard,Politoed,Aerodactyl,Conkeldurr,Sneasler,Oranguru,,PC243
PC242,PsychoR&R's The Champions Cup Tour Top 16 Team,,PsychoR&R,,,,Charizardite Y,,,Shuca Berry,,,Charcoal,,,Sitrus Berry,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/b98820e7943f4a33,Yes,Extracted,✔,K6AX5SHN9B,13 Apr 2026,The Champions Cup Tour,Top 16,https://x.com/psyr_r/status/2043395457192481029?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,psyr_r,,Charizard,Incineroar,Torkoal,Farigiraf,Kingambit,Hatterene,,PC242
PC241,electrikeely's Delphox Torkoal Team,,electrikeely,,,,Delphoxite,,,Charcoal,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/0ada4f980a9ccc8d,Yes,Extracted,✔,NW1RGCMSGK,13 Apr 2026,-,,https://x.com/electrikeely/status/2043486644167385310?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,electrikeely,,Delphox-Mega,Torkoal,Sneasler,Whimsicott,Farigiraf,Garchomp,,PC241
PC240,sunniettv's Floette Delphox Team,,sunnie,,,,Delphoxite,,,Floettite,,,Choice Scarf,,,White Herb,,,Chople Berry,,,Focus Sash,,https://pokepast.es/57a0e793cc1758ad,Yes,Extracted,✔,Q7PQS074NH,13 Apr 2026,-,,https://x.com/sunniettv/status/2043429829295382694?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,sunniettv,,Delphox-Mega,Floette-Eternal-Mega,Basculegion,Sneasler,Maushold-Four,Whimsicott,,PC240
PC239,prof_jermz's Floette Pikachu Team,,prof_jermz,,,,Floettite,,,Kangaskhanite,,,Light Ball,,,Mental Herb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/8d5b26b78a75ace3,Yes,Extracted,✔,MX57F2ECKG,13 Apr 2026,-,,https://x.com/prof_jermz/status/2042785936602271882?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,prof_jermz,,Floette-Eternal-Mega,Kangaskhan-Mega,Pikachu,Kleavor,Slowking-Galar,Corviknight,,PC239
PC238,danielcmini's Meganium Rain Team,,danielcmini,,,,Meganiumite,,,Choice Scarf,,,Sharp Beak,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/fbfed2cfcca24932,Yes,Extracted,✔,H32FKJ6RWV,13 Apr 2026,-,,https://x.com/danielcmini/status/2043410931795849415?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,danielcmini,,Meganium-Mega,Basculegion,Pelipper,Sneasler,Sinistcha,Archaludon,,PC238
PC237,elliotvgc's Glimmora HO Team,,elliotvgc,,,,Glimmoranite,,,Sharp Beak,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Haban Berry,,https://pokepast.es/bb2e8cffab3ac6bd,Yes,Extracted,✔,DHVPGG31W0,13 Apr 2026,-,,https://x.com/elliotvgc/status/2043438488738050407?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,elliotvgc,,Glimmora-Mega,Talonflame,Rotom-Wash,Sneasler,Maushold-Four,Garchomp,,PC237
PC236,DidiVGC's The Champions Cup Tour Top 4 Team,,DidiVGC,,,,Floettite,,,Scizorite,,,Shuca Berry,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/1c9d93d9782d68f1,Yes,Extracted,✔,HR92TQXVN6,13 Apr 2026,The Champions Cup Tour,Top 4,https://x.com/DidiVGC/status/2043423312584335567,-,-,DidiVGC,,Floette-Eternal-Mega,Scizor-Mega,Incineroar,Aerodactyl,Sneasler,Sinistcha,,PC236
PC235,Skwovetboi's Floette Offense Team,,Skwovetboi,,,,Floettite,,I,King&#39;s Rock,,,Focus Sash,,,Sitrus Berry,,,Sharp Beak,,,Dragon Fang,,https://pokepast.es/94afe7a913235246,Yes,Owner's,X,None,13 Apr 2026,-,,https://x.com/Skwovetboi/status/2043408547178807338?s=20,-,-,Skwovetboi,,Floette-Mega,Salazzle,Maushold-Four,Sinistcha-Masterpiece,Corviknight,Garchomp,,PC235
PC234,Skwovetboi's Sinistcha Tailroom Team,,Skwovetboi,,,,Golurkite,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,,Mental Herb,,,Chesto Berry,,https://pokepast.es/92a5dae22143b7cb,Yes,Owner's,X,None,13 Apr 2026,-,,https://x.com/Skwovetboi/status/2043408547178807338?s=20,-,-,Skwovetboi,,Golurk-Mega,Pelipper,Sneasler,Meowstic,Sinistcha-Masterpiece,Archaludon,,PC234
PC233,Skwovetboi's Glimmora HO Team,,Skwovetboi,,,,Glimmoranite,,,Focus Sash,,,Choice Scarf,,,Sitrus Berry,,,Shuca Berry,,,Soft Sand,,https://pokepast.es/4302ff60172460c5,Yes,Owner's,X,None,13 Apr 2026,-,,https://x.com/Skwovetboi/status/2043408547178807338?s=20,-,-,Skwovetboi,,Glimmora-Mega,Volcarona,Basculegion,Corviknight,Tinkaton,Garchomp,,PC233
PC232,Skwovetboi's Aggron Clefable Team,,Skwovetboi,,,,Aggronite,,,Clefablite,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/1b40ef3bd509ead7,Yes,Owner's,X,None,13 Apr 2026,-,,https://x.com/Skwovetboi/status/2043408547178807338?s=20,-,-,Skwovetboi,,Aggron-Mega,Clefable-Mega,Basculegion,Sneasler,Sinistcha-Masterpiece,Hydreigon,,PC232
PC231,Skwovetboi's Aggron Offense Team,,Skwovetboi,,,,Aggronite,,,White Herb,,,Focus Sash,,,Fairy Feather,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/daa957540bb9008e,Yes,Owner's,X,None,13 Apr 2026,-,,https://x.com/Skwovetboi/status/2043408547178807338?s=20,-,-,Skwovetboi,,Aggron-Mega,Basculegion,Sneasler,Clefable,Sinistcha-Masterpiece,Hydreigon,,PC231
PC230,ogrevgc's Alpensee Anniversary by codecentric AG Tour Champion Team,,ogrevgc,,,,Floettite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Chople Berry,,,Black Glasses,,https://pokepast.es/110f1ffe9d58776b,Yes,Extracted,✔,P8D0K3H3T3,13 Apr 2026,Alpensee Anniversary by codecentric AG Tour,Champion,https://x.com/ogrevgc/status/2043401750430830681?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ogrevgc,,Floette-Eternal-Mega,Basculegion,Aerodactyl,Sneasler,Maushold-Four,Kingambit,,PC230
